model_version,life_stage,risk_level,need,lambda,sigma_cap,cash_min,risk_asset_max,cmd_rule,cmd_slack,floor_used,target_met,w_cash,w_bond,w_equity,w_commodity,exp_return,ann_vol,ann_var,utility,sharpe_excess_rf,status
V3,子女成年,C3,保值,4.2,0.096,0.06,0.286875,off,,,False,6,66,19,9,0.059613,0.049673,0.002467,0.054431,0.918262,optimal
V3,子女成年,C3,增值,4.2,0.096,0.06,0.3825,hard,,0.07,False,6,56,31,7,0.069679,0.079921,0.006387,0.056265,0.696673,optimal
V3,子女成年,C3,传承,4.2,0.096,0.06,0.34425,hard,,0.05,True,6,60,21,13,0.062933,0.055291,0.003057,0.056513,0.885014,optimal
V3,退休,C3,保值,4.2,0.08,0.12,0.19125,off,,,False,12,69,19,0,0.055266,0.049115,0.002412,0.0502,0.840187,optimal
V3,退休,C3,增值,4.2,0.08,0.12,0.255,soft,0.028358,0.06,False,12,63,23,2,0.059632,0.05916,0.0035,0.052282,0.771336,optimal
V3,退休,C3,传承,4.2,0.08,0.12,0.2295,hard,,0.05,True,12,66,17,5,0.055357,0.044235,0.001957,0.051248,0.934934,optimal
V3,刚毕业,C4,保值,2.7,0.16,0.03,0.6375,off,,,False,3,34,32,31,0.080145,0.087609,0.007675,0.069783,0.755001,optimal
V3,刚毕业,C4,增值,2.7,0.16,0.03,0.85,hard,,0.07,True,3,12,35,50,0.090052,0.102719,0.010551,0.075808,0.740391,optimal
V3,刚毕业,C4,传承,2.7,0.16,0.03,0.765,hard,,0.05,True,3,21,34,42,0.086118,0.096724,0.009356,0.073488,0.745603,optimal
V3,单身青年,C4,保值,2.7,0.15,0.04,0.6,off,,,False,4,36,33,27,0.079375,0.08884,0.007892,0.06872,0.735877,optimal
V3,单身青年,C4,增值,2.7,0.15,0.04,0.8,hard,,0.07,True,4,16,35,45,0.088001,0.100441,0.010088,0.074382,0.736758,optimal
V3,单身青年,C4,传承,2.7,0.15,0.04,0.72,hard,,0.05,True,4,24,34,38,0.084446,0.095112,0.009046,0.072234,0.740665,optimal
V3,二人世界,C4,保值,2.7,0.14,0.07,0.5625,off,,,False,7,37,32,24,0.076868,0.085532,0.007316,0.066992,0.735019,optimal
V3,二人世界,C4,增值,2.7,0.14,0.07,0.75,hard,,0.07,True,7,18,34,41,0.085115,0.096409,0.009295,0.072567,0.737639,optimal
V3,二人世界,C4,传承,2.7,0.14,0.07,0.675,hard,,0.05,True,7,26,33,34,0.08156,0.091227,0.008322,0.070325,0.740572,optimal
V3,小孩学前,C4,保值,2.7,0.14,0.1,0.4875,off,,,False,10,42,30,18,0.072322,0.079039,0.006247,0.063888,0.737892,optimal
V3,小孩学前,C4,增值,2.7,0.14,0.1,0.65,hard,,0.07,True,10,25,33,32,0.080334,0.090589,0.008206,0.069255,0.73225,optimal
V3,小孩学前,C4,传承,2.7,0.14,0.1,0.585,hard,,0.05,True,10,32,32,26,0.077158,0.086164,0.007424,0.067135,0.732993,optimal
V3,小孩成年前,C4,保值,2.7,0.14,0.08,0.4125,off,,,False,8,51,30,11,0.069981,0.077783,0.00605,0.061813,0.719705,optimal
V3,小孩成年前,C4,增值,2.7,0.14,0.08,0.55,hard,,0.07,True,8,37,32,23,0.076333,0.085286,0.007274,0.066514,0.730872,optimal
V3,小孩成年前,C4,传承,2.7,0.14,0.08,0.495,hard,,0.05,True,8,43,31,18,0.073536,0.081556,0.006651,0.064557,0.730005,optimal
